Ticker,Name,Weight,Shares,Price
LEN UN Equity,Lennar Corp,--,--,99.83
JEF UN Equity,Jefferies Financial Group Inc,--,--,33.41
GRC UN Equity,Gorman-Rupp Co/The,--,--,34.67
LLY UN Equity,Eli Lilly & Co,--,--,235.42
MCFT UQ Equity,MasterCraft Boat Holdings Inc,--,--,25.04
LB UN Equity,L Brands Inc,--,--,73.48
LNC UN Equity,Lincoln National Corp,--,--,62.02
L UN Equity,Loews Corp,--,--,53.91
LOW UN Equity,Lowe's Cos Inc,--,--,194.75
ORCL UN Equity,Oracle Corp,--,--,83.08
MAXR UN Equity,Maxar Technologies Inc,--,--,38.58
MMC UN Equity,Marsh & McLennan Cos Inc,--,--,142.55
MAS UN Equity,Masco Corp,--,--,57.95
MAT UW Equity,Mattel Inc,--,--,20.02
SELB UQ Equity,Selecta Biosciences Inc,--,--,4.18
SPGI UN Equity,S&P Global Inc,--,--,415.67
MDT UN Equity,Medtronic PLC,--,--,126.97
CVS UN Equity,CVS Health Corp,--,--,81.18
MU UW Equity,Micron Technology Inc,--,--,81.08
MSI UN Equity,Motorola Solutions Inc,--,--,223.01
MUR UN Equity,Murphy Oil Corp,--,--,22.97
LH UN Equity,Laboratory Corp of America Holdings,--,--,278.57
THC UN Equity,Tenet Healthcare Corp,--,--,68.01
NEM UN Equity,Newmont Corp,--,--,63.89
BFST UW Equity,Business First Bancshares Inc,--,--,23
NKE UN Equity,NIKE Inc,--,--,160.11
NI UN Equity,NiSource Inc,--,--,24.87
NSC UN Equity,Norfolk Southern Corp,--,--,269.34
ES UN Equity,Eversource Energy,--,--,81.04
NOC UN Equity,Northrop Grumman Corp,--,--,367.65
WFC UN Equity,Wells Fargo & Co,--,--,43.49
HPE UN Equity,Hewlett Packard Enterprise Co,--,--,14.35
NUE UN Equity,Nucor Corp,--,--,92.55
OXY UN Equity,Occidental Petroleum Corp,--,--,30.51
OMC UN Equity,Omnicom Group Inc,--,--,78.88
OKE UN Equity,ONEOK Inc,--,--,56.49
QGEN UN Equity,QIAGEN NV,--,--,49.89
PCG UN Equity,PG&E Corp,--,--,10.5
PH UN Equity,Parker-Hannifin Corp,--,--,303.92
PPL UN Equity,PPL Corp,--,--,28.17
RLMD UW Equity,Relmada Therapeutics Inc,--,--,33
COP UN Equity,ConocoPhillips,--,--,60.28
PHM UN Equity,PulteGroup Inc,--,--,53.92
PNW UN Equity,Pinnacle West Capital Corp,--,--,83.47
PBI UN Equity,Pitney Bowes Inc,--,--,8.41
NFE UW Equity,New Fortress Energy Inc,--,--,38.03
QTWO UN Equity,Q2 Holdings Inc,--,--,103.92
XBIT UW Equity,XBiotech Inc,--,--,16.06
PNC UN Equity,PNC Financial Services Group Inc/The,--,--,187.96
AKBA UQ Equity,Akebia Therapeutics Inc,--,--,3.51
PPG UN Equity,PPG Industries Inc,--,--,169.01
BKR UN Equity,Baker Hughes Co,--,--,22.41
PGR UN Equity,Progressive Corp/The,--,--,97.86
PEG UN Equity,Public Service Enterprise Group Inc,--,--,60.3
CHPT UN Equity,ChargePoint Holdings Inc,--,--,31.11
RHI UN Equity,Robert Half International Inc,--,--,86.2
ALTR UW Equity,Altair Engineering Inc,--,--,70.5
R UN Equity,Ryder System Inc,--,--,73.52
EIX UN Equity,Edison International,--,--,57.37
SLB UN Equity,Schlumberger NV,--,--,31.17
SCHW UN Equity,Charles Schwab Corp/The,--,--,70.77
SHW UN Equity,Sherwin-Williams Co/The,--,--,273.5
SJM UN Equity,J M Smucker Co/The,--,--,128.58
SNA UN Equity,Snap-on Inc,--,--,222.48
SO UN Equity,Southern Co/The,--,--,61.64
TFC UN Equity,Truist Financial Corp,--,--,54.42
LUV UN Equity,Southwest Airlines Co,--,--,52.36
OM UW Equity,Outset Medical Inc,--,--,43.62
SWN UN Equity,Southwestern Energy Co,--,--,5.29
SWK UN Equity,Stanley Black & Decker Inc,--,--,205.98
WRB UN Equity,W R Berkley Corp,--,--,75.82
PSA UN Equity,Public Storage,--,--,307.94
GH UW Equity,Guardant Health Inc,--,--,124.26
SYY UN Equity,Sysco Corp,--,--,75.34
TXN UW Equity,Texas Instruments Inc,--,--,191.2
TXT UN Equity,Textron Inc,--,--,67.31
TMO UN Equity,Thermo Fisher Scientific Inc,--,--,517.06
KOD UQ Equity,Kodiak Sciences Inc,--,--,92.06
TJX UN Equity,TJX Cos Inc/The,--,--,68.13
GL UN Equity,Globe Life Inc,--,--,94.07
JCI UN Equity,Johnson Controls International plc,--,--,68.35
UNP UN Equity,Union Pacific Corp,--,--,223.81
UNH UN Equity,UnitedHealth Group Inc,--,--,410.26
UNM UN Equity,Unum Group,--,--,27.68
MRO UN Equity,Marathon Oil Corp,--,--,13.21
X UN Equity,United States Steel Corp,--,--,22.48
VTR UN Equity,Ventas Inc,--,--,57.74
VFC UN Equity,VF Corp,--,--,82.36
VNO UN Equity,Vornado Realty Trust,--,--,46
