Ticker,Name,Weight,Shares,Price
ADSK UW Equity,Autodesk Inc,--,--,288.74
CTAS UW Equity,Cintas Corp,--,--,378.26
ESTC UN Equity,Elastic NV,--,--,148.79
CMCSA UW Equity,Comcast Corp,--,--,56.42
TAP UN Equity,Molson Coors Beverage Co,--,--,55.08
CBFV UQ Equity,CB Financial Services Inc,--,--,22.14
KLAC UW Equity,KLA Corp,--,--,316.26
MKC UN Equity,McCormick & Co Inc/MD,--,--,87.28
JWN UN Equity,Nordstrom Inc,--,--,36.42
PCAR UW Equity,PACCAR Inc,--,--,88.98
MOD UN Equity,Modine Manufacturing Co,--,--,16.38
COST UW Equity,Costco Wholesale Corp,--,--,394.51
GKOS UN Equity,Glaukos Corp,--,--,86.25
GALT UR Equity,Galectin Therapeutics Inc,--,--,3.45
SYK UN Equity,Stryker Corp,--,--,263
TSN UN Equity,Tyson Foods Inc,--,--,74.5
AMAT UW Equity,Applied Materials Inc,--,--,136.19
BBBY UW Equity,Bed Bath & Beyond Inc,--,--,28.93
CAH UN Equity,Cardinal Health Inc,--,--,57.28
MTZ UN Equity,MasTec Inc,--,--,107.68
CERN UW Equity,Cerner Corp,--,--,78.45
CINF UW Equity,Cincinnati Financial Corp,--,--,119.08
VIR UW Equity,Vir Biotechnology Inc,--,--,45.51
WLTW UW Equity,Willis Towers Watson PLC,--,--,235.5
HBT UW Equity,HBT Financial Inc,--,--,17.4
DHI UN Equity,DR Horton Inc,--,--,88.85
FLS UN Equity,Flowserve Corp,--,--,41.18
NMRD UR Equity,Nemaura Medical Inc,--,--,10.2
ATGE UN Equity,Adtalem Global Education Inc,--,--,36.28
EA UW Equity,Electronic Arts Inc,--,--,138.59
EXPD UW Equity,Expeditors International of Washington I,--,--,125.75
SEAS UN Equity,SeaWorld Entertainment Inc,--,--,52.39
FAST UW Equity,Fastenal Co,--,--,51.77
MTB UN Equity,M&T Bank Corp,--,--,151.33
FISV UW Equity,Fiserv Inc,--,--,108.99
FITB UW Equity,Fifth Third Bancorp,--,--,39.5
ITRI UW Equity,Itron Inc,--,--,100.19
FHN UN Equity,First Horizon Corp,--,--,17.86
BF/A UN Equity,Brown-Forman Corp,--,--,72.33
AXDX UR Equity,Accelerate Diagnostics Inc,--,--,9.23
GILD UW Equity,Gilead Sciences Inc,--,--,67.88
SAL UR Equity,Salisbury Bancorp Inc,--,--,52
HAS UW Equity,Hasbro Inc,--,--,93.54
HBAN UW Equity,Huntington Bancshares Inc/OH,--,--,14.61
WELL UN Equity,Welltower Inc,--,--,84.02
BIIB UW Equity,Biogen Inc,--,--,347.93
RRC UN Equity,Range Resources Corp,--,--,16.65
NBR UN Equity,Nabors Industries Ltd,--,--,115.71
NTRS UW Equity,Northern Trust Corp,--,--,116.27
PAYX UW Equity,Paychex Inc,--,--,105.61
